State,state_code,deaths,Pop,Age_grp,Year_grp,age,year,cohort,censor
Arizona,4,382,1921403,45-49,2002-2006,47,2004,1957,0
Arkansas,5,77,982955,45-49,2002-2006,47,2004,1957,0
California,6,1544,12904232,45-49,2002-2006,47,2004,1957,0
Colorado,8,228,1823241,45-49,2002-2006,47,2004,1957,0
Connecticut,9,135,1414473,45-49,2002-2006,47,2004,1957,0
Delaware,10,45,314536,45-49,2002-2006,47,2004,1957,0
District of Columbia,11,65,193170,45-49,2002-2006,47,2004,1957,0
Florida,12,988,6355773,45-49,2002-2006,47,2004,1957,0
Georgia,13,231,3242091,45-49,2002-2006,47,2004,1957,0
Hawaii,15,68,477463,45-49,2002-2006,47,2004,1957,0
Idaho,16,53,500758,45-49,2002-2006,47,2004,1957,0
Illinois,17,526,4711920,45-49,2002-2006,47,2004,1957,0
Indiana,18,116,2357010,45-49,2002-2006,47,2004,1957,0
Iowa,19,62,1113128,45-49,2002-2006,47,2004,1957,0
Kansas,20,107,1033800,45-49,2002-2006,47,2004,1957,0
Kentucky,21,186,1584171,45-49,2002-2006,47,2004,1957,0
Louisiana,22,109,1682657,45-49,2002-2006,47,2004,1957,0
Maine,23,62,548395,45-49,2002-2006,47,2004,1957,0
Maryland,24,494,2207998,45-49,2002-2006,47,2004,1957,0
Massachusetts,25,527,2495710,45-49,2002-2006,47,2004,1957,0
Michigan,26,432,3924091,45-49,2002-2006,47,2004,1957,0
Minnesota,27,132,1999302,45-49,2002-2006,47,2004,1957,0
Mississippi,28,19,1044326,45-49,2002-2006,47,2004,1957,0
Missouri,29,267,2179873,45-49,2002-2006,47,2004,1957,0
Montana,30,43,381124,45-49,2002-2006,47,2004,1957,0
Nebraska,31,19,653639,45-49,2002-2006,47,2004,1957,0
Nevada,32,304,846612,45-49,2002-2006,47,2004,1957,0
New Hampshire,33,88,552004,45-49,2002-2006,47,2004,1957,0
New Jersey,34,346,3399429,45-49,2002-2006,47,2004,1957,0
New Mexico,35,192,706467,45-49,2002-2006,47,2004,1957,0
New York,36,647,7182697,45-49,2002-2006,47,2004,1957,0
North Carolina,37,466,3181699,45-49,2002-2006,47,2004,1957,0
North Dakota,38,11,248071,45-49,2002-2006,47,2004,1957,0
Ohio,39,512,4467135,45-49,2002-2006,47,2004,1957,0
Oklahoma,40,279,1295587,45-49,2002-2006,47,2004,1957,0
Oregon,41,313,1374045,45-49,2002-2006,47,2004,1957,0
Pennsylvania,42,367,4885567,45-49,2002-2006,47,2004,1957,0
Rhode Island,44,107,413848,45-49,2002-2006,47,2004,1957,0
South Carolina,45,109,1561268,45-49,2002-2006,47,2004,1957,0
South Dakota,46,13,289148,45-49,2002-2006,47,2004,1957,0
Tennessee,47,312,2230986,45-49,2002-2006,47,2004,1957,0
Texas,48,755,8053699,45-49,2002-2006,47,2004,1957,0
Utah,49,218,734417,45-49,2002-2006,47,2004,1957,0
Vermont,50,30,261726,45-49,2002-2006,47,2004,1957,0
Virginia,51,280,2922473,45-49,2002-2006,47,2004,1957,0
Washington,53,587,2440779,45-49,2002-2006,47,2004,1957,0
West Virginia,54,181,711078,45-49,2002-2006,47,2004,1957,0
Wisconsin,55,223,2164649,45-49,2002-2006,47,2004,1957,0
Wyoming,56,10,213459,45-49,2002-2006,47,2004,1957,-1
Alabama,1,48,1546781,50-54,2002-2006,52,2004,1952,0
Alaska,2,10,251552,50-54,2002-2006,52,2004,1952,-1
Arizona,4,248,1731213,50-54,2002-2006,52,2004,1952,0
Arkansas,5,51,904386,50-54,2002-2006,52,2004,1952,0
California,6,1272,11219847,50-54,2002-2006,52,2004,1952,0
Colorado,8,181,1621478,50-54,2002-2006,52,2004,1952,0
Connecticut,9,83,1222050,50-54,2002-2006,52,2004,1952,0
Delaware,10,21,275474,50-54,2002-2006,52,2004,1952,0
District of Columbia,11,63,184926,50-54,2002-2006,52,2004,1952,0
Florida,12,700,5682056,50-54,2002-2006,52,2004,1952,0
Georgia,13,151,2831357,50-54,2002-2006,52,2004,1952,0
Hawaii,15,51,457379,50-54,2002-2006,52,2004,1952,0
Idaho,16,30,460708,50-54,2002-2006,52,2004,1952,0
Illinois,17,354,4146994,50-54,2002-2006,52,2004,1952,0
Indiana,18,53,2104872,50-54,2002-2006,52,2004,1952,0
Iowa,19,37,1020604,50-54,2002-2006,52,2004,1952,0
Kansas,20,60,918650,50-54,2002-2006,52,2004,1952,0
Kentucky,21,118,1438771,50-54,2002-2006,52,2004,1952,0
Louisiana,22,62,1506947,50-54,2002-2006,52,2004,1952,0
Maine,23,47,507678,50-54,2002-2006,52,2004,1952,0
Maryland,24,307,1942088,50-54,2002-2006,52,2004,1952,0
Massachusetts,25,265,2205062,50-54,2002-2006,52,2004,1952,0
Michigan,26,278,3499024,50-54,2002-2006,52,2004,1952,0
Minnesota,27,103,1747892,50-54,2002-2006,52,2004,1952,0
Mississippi,28,15,935699,50-54,2002-2006,52,2004,1952,0
Missouri,29,147,1932805,50-54,2002-2006,52,2004,1952,0
Montana,30,20,361453,50-54,2002-2006,52,2004,1952,0
Nebraska,31,24,591396,50-54,2002-2006,52,2004,1952,0
Nevada,32,247,769359,50-54,2002-2006,52,2004,1952,0
New Hampshire,33,35,480931,50-54,2002-2006,52,2004,1952,0
New Jersey,34,196,2924047,50-54,2002-2006,52,2004,1952,0
New Mexico,35,126,652944,50-54,2002-2006,52,2004,1952,0
New York,36,472,6433693,50-54,2002-2006,52,2004,1952,0
North Carolina,37,281,2874291,50-54,2002-2006,52,2004,1952,0
North Dakota,38,10,224712,50-54,2002-2006,52,2004,1952,-1
Ohio,39,298,4006043,50-54,2002-2006,52,2004,1952,0
Oklahoma,40,172,1167496,50-54,2002-2006,52,2004,1952,0
Oregon,41,236,1336071,50-54,2002-2006,52,2004,1952,0
Pennsylvania,42,211,4390955,50-54,2002-2006,52,2004,1952,0
Rhode Island,44,59,363708,50-54,2002-2006,52,2004,1952,0
South Carolina,45,78,1442425,50-54,2002-2006,52,2004,1952,0
